01_Elephantine	Elephantine
25_Siddhanta	Siddhanta
26_Soto	Soto
27_Pasupata	Pasupata
28_Sarvastivada	Sarvastivada
29_Aghori	Aghori
30_Krama	Krama
31_Nath	Nath
32_Srividya	Srividya
33_Trika	Trika
34_Tiantai	Tiantai
35_WhiteLotus	WhiteLotus
36_Nyingmapa	Nyingmapa
37_Sakyapa	Sakyapa
38_Kagyupa	Kagyupa
39_Shingon	Shingon
40_Tachikawaryu	Tachikawaryu
41_Kalamukha	Kalamukha
42_Virasaiva	Virasaiva
43_Chorakuji	Chorakuji
44_Mahanubhava	Mahanubhava
45_Gaudiya	Gaudiya
46_Mahdva	Mahdva
47_Nimanda	Nimanda
48_Radhavallabhi	Radhavallabhi
49_Tendai	Tendai
50_Ji	Ji
51_Seizan	Seizan
52_Fuji	Fuji
53_Seon	Seon
54_Chinzei	Chinzei
55_Shin	Shin
56_Kadmi	Kadmi
57_Shenshai	Shenshai
58_Tenkalai	Tenkalai
59_Vatakalai	Vatakalai
60_Gelukpa	Gelukpa
61_Kadampa	Kadampa
62_Obaku	Obaku
63_Rinzai	Rinzai
64_Varkari	Varkari
65_Fujufuse	Fujufuse
66_Itchi	Itchi
67_Shoretsu	Shoretsu
68_TaranSvami	TaranSvami
69_Dadupanth	Dadupanth
70_Raidasi	Raidasi
71_Ramanandi	Ramanandi
72_Murtipujaka	Murtipujaka
73_Udasi	Udasi
74_Bisapanthi	Bisapanthi
75_DTerapanthi	DTerapanthi
76_STerapanthi	STerapanthi
77_Sthanakvasi	Sthanakvasi
78_Namdhari	Namdhari
79_TatKhalsa	TatKhalsa
80_OtherMahanikaya	OtherMahanikaya
81_Thudhamma	Thudhamma
82_Vallabha	Vallabha
83_ThaiMahanikaya	ThaiMahanikaya
84_Thammayut	Thammayut
85_Nirankari	Nirankari
86_Sanatan	Sanatan
87_Kabirpanth	Kabirpanth
88_Radhasoami	Radhasoami
89_Ramanna	Ramanna
90_SiyamNikaya	SiyamNikaya
91_AryaSamaj	AryaSamaj
92_NeoVedanta	NeoVedanta
93_Smarta	Smarta
94_BAPS	BAPS
95_OtherSwaminarayan	OtherSwaminarayan
